Identifier,Gender,Ethinicity,Parent Education,lunch,Coaching,Numerical,Vocabulary,Comprehension,internet,freetime,goout,health,absences,Mjob,Fjob,reason,guardian,traveltime,studytime
1001,female,group B,bachelor's degree,standard,none,72,72,74,no,3,4,3,6,at_home,teacher,course,mother,2,2
1002,female,group C,some college,standard,Yes,69,90,88,yes,3,3,3,4,at_home,other,course,father,1,2
1003,female,group B,master's degree,standard,none,90,95,93,yes,3,2,3,10,at_home,other,other,mother,1,2
1004,male,group A,associate's degree,free/reduced,none,47,57,44,yes,2,2,5,2,health,services,home,mother,1,3
1005,male,group C,some college,standard,none,76,78,75,no,3,2,5,4,other,other,home,father,1,2
1006,female,group B,associate's degree,standard,none,71,83,78,yes,4,2,5,10,services,other,reputation,mother,1,2
1007,female,group B,some college,standard,Yes,88,95,92,yes,4,4,3,0,other,other,home,mother,1,2
1008,male,group B,some college,free/reduced,none,40,43,39,no,1,4,1,6,other,teacher,home,mother,2,2
1009,male,group D,high school,free/reduced,Yes,64,64,67,yes,2,2,1,0,services,other,home,mother,1,2
1010,female,group B,high school,free/reduced,none,38,60,50,yes,5,1,5,0,other,other,home,mother,1,2
1011,male,group C,associate's degree,standard,none,58,54,52,yes,3,3,2,0,teacher,health,reputation,mother,1,2
1012,male,group D,associate's degree,standard,none,40,52,43,yes,2,2,4,4,services,other,reputation,father,3,3
1013,female,group B,high school,standard,none,65,81,73,yes,3,3,5,2,health,services,course,father,1,1
1014,male,group A,some college,standard,Yes,78,72,70,yes,4,3,3,2,teacher,other,course,mother,2,2
1015,female,group A,master's degree,standard,none,50,53,58,yes,5,2,3,0,other,other,home,other,1,3
1016,female,group C,some high school,standard,none,69,75,78,yes,4,4,2,4,health,other,home,mother,1,1
1017,male,group C,high school,standard,none,88,89,86,yes,2,3,2,6,services,services,reputation,mother,1,3
1018,female,group B,some high school,free/reduced,none,18,32,28,no,3,2,4,4,other,other,reputation,mother,3,2
1019,male,group C,master's degree,free/reduced,Yes,46,42,46,yes,5,5,5,16,services,services,course,mother,1,1
1020,female,group C,associate's degree,free/reduced,none,54,58,61,yes,1,3,5,4,health,other,home,father,1,1
1021,male,group D,high school,standard,none,66,69,63,yes,4,1,1,0,teacher,other,reputation,mother,1,2
1022,female,group B,some college,free/reduced,Yes,65,75,70,yes,4,2,5,0,health,health,other,father,1,1
1023,male,group D,some college,standard,none,44,54,53,yes,5,1,5,2,teacher,other,course,mother,1,2
1024,female,group C,some high school,standard,none,69,73,73,yes,4,4,5,0,other,other,reputation,mother,2,2
1025,male,group D,bachelor's degree,free/reduced,Yes,74,71,80,yes,3,2,5,2,services,health,course,mother,1,3
1026,male,group A,master's degree,free/reduced,none,73,74,72,yes,2,2,5,14,services,services,home,mother,1,1
1027,male,group B,some college,standard,none,69,54,55,yes,2,2,5,2,other,other,home,mother,1,1
1028,female,group C,bachelor's degree,standard,none,67,69,75,yes,2,4,1,4,health,services,other,mother,1,1
1029,male,group C,high school,standard,none,70,70,65,yes,3,3,5,4,services,other,home,mother,1,2
1030,female,group D,master's degree,standard,none,62,70,75,yes,4,5,5,16,teacher,teacher,home,mother,1,2
1031,female,group D,some college,standard,none,69,74,74,yes,4,2,5,0,health,services,home,mother,1,2
1032,female,group B,some college,standard,none,63,65,61,yes,3,1,5,0,services,services,reputation,mother,2,2
1033,female,group E,master's degree,free/reduced,none,56,72,65,yes,5,2,5,0,teacher,at_home,course,mother,1,2
1034,male,group D,some college,standard,none,40,42,38,yes,3,2,2,0,other,other,course,mother,1,2
1035,male,group E,some college,standard,none,97,87,82,yes,4,3,5,0,other,other,home,mother,1,1
1036,male,group E,associate's degree,standard,Yes,81,81,79,no,5,1,5,0,other,other,other,father,2,1
1037,female,group D,associate's degree,standard,none,74,81,83,yes,4,3,4,2,teacher,services,home,mother,1,3
1038,female,group D,some high school,free/reduced,none,50,64,59,yes,4,3,5,7,other,teacher,reputation,mother,2,3
1039,female,group D,associate's degree,free/reduced,Yes,75,90,88,yes,3,2,5,2,services,health,course,mother,1,3
1040,male,group B,associate's degree,free/reduced,none,57,56,57,no,3,1,2,8,at_home,other,reputation,mother,1,1
1041,male,group C,associate's degree,free/reduced,none,55,61,54,yes,3,3,3,25,other,other,home,mother,2,2
1042,female,group C,associate's degree,standard,none,58,73,68,yes,4,3,5,8,teacher,other,home,other,1,1
1043,female,group B,associate's degree,standard,none,53,58,65,yes,3,3,5,2,services,teacher,course,father,1,2
1044,male,group B,some college,free/reduced,Yes,59,65,66,yes,4,1,1,0,services,services,course,father,1,1
1045,female,group E,associate's degree,free/reduced,none,50,56,54,yes,3,3,5,14,other,at_home,course,father,2,2
1046,male,group B,associate's degree,standard,none,65,54,57,yes,2,2,5,8,other,other,course,mother,1,2
1047,female,group A,associate's degree,standard,Yes,55,65,62,yes,3,5,3,12,other,services,home,mother,1,2
1048,female,group C,high school,standard,none,66,71,76,yes,2,2,2,4,health,services,reputation,mother,1,4
1049,female,group D,associate's degree,free/reduced,Yes,57,74,76,no,3,3,5,2,teacher,other,home,mother,1,2
1050,male,group C,high school,standard,Yes,82,84,82,yes,4,4,3,2,services,teacher,other,father,1,2
1051,male,group E,some college,standard,none,53,55,48,yes,3,3,4,2,services,services,course,mother,3,2
1052,male,group E,associate's degree,free/reduced,Yes,77,69,68,yes,3,3,5,2,health,other,other,mother,1,2
1053,male,group C,some college,standard,none,53,44,42,no,5,5,5,6,health,health,other,father,2,1
1054,male,group D,high school,standard,none,88,78,75,yes,3,4,5,0,services,services,course,mother,1,1
1055,female,group C,some high school,free/reduced,Yes,71,84,87,yes,3,4,1,6,other,other,other,mother,1,1
1056,female,group C,high school,free/reduced,none,33,41,43,yes,3,4,2,8,other,other,other,mother,1,2
1057,female,group E,associate's degree,standard,Yes,82,85,86,yes,3,2,1,0,services,services,reputation,mother,1,2
1058,male,group D,associate's degree,standard,none,52,55,49,no,2,2,5,4,teacher,health,reputation,mother,1,2
1059,male,group D,some college,standard,Yes,58,59,58,yes,3,2,5,2,other,at_home,home,father,1,2
1060,female,group C,some high school,free/reduced,none,0,17,10,yes,2,3,5,2,services,other,course,mother,1,2
1061,male,group E,bachelor's degree,free/reduced,Yes,79,74,72,no,4,4,4,6,health,teacher,other,mother,1,2
1062,male,group A,some high school,free/reduced,none,39,39,34,yes,5,5,5,6,services,services,course,father,4,1
1063,male,group A,associate's degree,free/reduced,none,62,61,55,yes,4,3,1,4,other,services,reputation,father,1,2
1064,female,group C,associate's degree,standard,none,69,80,71,yes,4,4,4,2,teacher,health,home,mother,1,3
1065,female,group D,some high school,standard,none,59,58,59,yes,4,4,2,0,services,services,reputation,father,1,2
1066,male,group B,some high school,standard,none,67,64,61,yes,4,3,1,2,teacher,services,course,mother,3,2
1067,male,group D,some high school,free/reduced,none,45,37,37,yes,3,3,3,4,other,services,reputation,mother,1,4
1068,female,group C,some college,standard,none,60,72,74,yes,3,3,5,4,services,other,course,mother,1,4
1069,male,group B,associate's degree,free/reduced,none,61,58,56,yes,1,3,4,2,health,services,reputation,mother,2,2
1070,female,group C,associate's degree,standard,none,39,64,57,yes,4,2,3,12,other,other,reputation,father,2,4
1071,female,group D,some college,free/reduced,Yes,58,63,73,yes,3,2,5,0,other,other,reputation,father,2,4
1072,male,group D,some college,standard,Yes,63,55,63,yes,3,3,3,0,other,other,course,mother,1,4
1073,female,group A,associate's degree,free/reduced,none,41,51,48,yes,3,4,5,2,other,other,reputation,mother,1,2
1074,male,group C,some high school,free/reduced,none,61,57,56,no,3,2,5,2,other,other,reputation,mother,1,1
1075,male,group C,some high school,standard,none,49,49,41,yes,3,3,5,54,other,services,home,mother,1,2
1076,male,group B,associate's degree,free/reduced,none,44,41,38,yes,3,3,5,6,teacher,other,home,mother,1,2
1077,male,group E,some high school,standard,none,30,26,22,yes,4,3,1,8,teacher,other,course,mother,2,4
1078,male,group A,bachelor's degree,standard,Yes,80,78,81,yes,2,3,3,0,other,other,reputation,mother,1,4
1079,female,group D,some high school,standard,Yes,61,74,72,yes,5,1,3,2,other,other,home,mother,2,1
1080,female,group E,master's degree,standard,none,62,68,68,yes,4,3,3,12,at_home,other,course,mother,1,2
1081,female,group B,associate's degree,standard,none,47,49,50,yes,2,2,3,2,other,services,course,father,1,1
1082,male,group B,high school,free/reduced,none,49,45,45,yes,3,2,5,4,other,other,home,mother,1,3
1083,male,group A,some college,free/reduced,Yes,50,47,54,yes,4,4,5,10,services,other,reputation,mother,1,2
1084,male,group E,associate's degree,standard,none,72,64,63,yes,3,3,4,4,services,services,home,mother,2,2
1085,male,group D,high school,free/reduced,none,42,39,34,yes,3,2,4,2,other,other,home,father,1,2
1086,female,group C,some college,standard,none,73,80,82,yes,4,4,5,6,services,services,reputation,father,2,2
1087,female,group C,some college,free/reduced,none,76,83,88,no,3,4,2,4,at_home,other,course,mother,1,2
1088,female,group D,associate's degree,standard,none,71,71,74,yes,3,3,1,4,other,other,reputation,mother,1,3
1089,female,group A,some college,standard,none,58,70,67,yes,4,2,3,12,services,other,reputation,father,2,2
1090,female,group D,some high school,standard,none,73,86,82,no,1,3,5,18,teacher,health,reputation,mother,1,2
1091,female,group C,bachelor's degree,standard,none,65,72,74,yes,3,3,4,0,other,other,home,mother,1,3
1092,male,group C,high school,free/reduced,none,27,34,36,yes,5,5,1,4,services,other,reputation,mother,1,1
1093,male,group C,high school,standard,none,71,79,71,no,3,3,2,4,other,other,home,father,1,2
1094,male,group C,associate's degree,free/reduced,Yes,43,45,50,yes,3,3,1,0,teacher,services,home,mother,2,2
1095,female,group B,some college,standard,none,79,86,92,yes,3,4,4,6,services,health,reputation,mother,1,4
